# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blacklisted workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_when_started time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1522085393023363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393043630 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393044653 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393047553 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393048762 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 3 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393049530 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 4 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393050279 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 5 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393051500 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 6 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393052725 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 7 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393055219 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 8 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393057695 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 9 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393058915 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 10 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393059687 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 11 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393062182 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 12 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393062961 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 13 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393064189 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 14 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393066906 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 15 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393068147 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 16 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393068945 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 17 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393070185 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 18 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393071213 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 19 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393072245 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 20 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393073506 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 21 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393075996 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 22 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393078527 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 23 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393079780 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 24 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393080583 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 25 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393081619 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 26 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393082423 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 27 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393083225 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 28 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393085764 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 29 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393087033 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 30 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1522085393088297 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 31 0 0 0 0 0 1522085393023090 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
